QuestID;InterviewDate;InterviewLengthSec;InterviewStatus;AgeBands;Region;BA01R_KA_1;BA02R_271_PL;BA02R_272_PL;BA02R_273_PL;BA02R_274_PL;BA02R_279_PL;BA02R_280_PL;BA02R_282_PL;BA02R_283_PL;BA02R_284_PL;BA02R_285_PL;SU01R;NPS01R
1;12.04.2020;107;1;3;911;0;0;1;1;1;0;1;1;1;0;0;552;0
2;07.04.2020;379;1;5;903;0;1;1;1;1;0;0;1;1;0;0;543;5
3;12.04.2020;384;1;3;901;1;0;1;0;0;0;0;0;0;0;0;542;2
4;03.04.2020;227;1;5;914;0;0;0;0;0;0;0;1;0;0;0;552;6
5;21.04.2020;176;1;2;907;0;1;1;1;1;0;1;1;1;0;0;541;0
6;08.04.2020;2101;1;5;906;0;0;1;1;0;0;0;1;1;0;0;542;2
7;15.04.2020;97;1;2;906;0;0;0;1;0;0;0;0;0;0;0;549;0
8;15.04.2020;74;1;2;903;0;0;0;0;0;0;0;1;0;0;0;543;4
9;07.04.2020;125;1;2;907;0;0;0;1;0;0;0;0;0;0;0;543;3
10;14.04.2020;313;1;3;905;1;1;0;0;0;0;0;0;0;0;0;541;5
11;02.04.2020;336;1;1;906;0;1;1;1;1;1;1;1;1;1;1;542;6
12;06.04.2020;370;1;5;911;0;0;1;1;1;0;1;1;0;0;0;552;4
13;21.04.2020;264;1;4;908;0;1;1;1;1;0;0;1;0;0;0;542;6
14;05.04.2020;401;1;5;901;0;0;1;0;1;0;0;1;1;0;0;542;7
15;07.04.2020;207;1;5;902;0;0;1;1;1;1;1;1;1;0;0;421;2
16;10.04.2020;336;1;4;907;0;1;1;1;1;1;1;1;1;0;0;543;6
17;20.04.2020;377;1;3;907;0;1;1;1;1;0;1;1;1;0;0;541;3
18;09.04.2020;660;1;4;906;0;0;1;1;1;0;0;1;1;0;0;542;3
19;21.04.2020;467;1;2;907;0;1;1;1;0;0;0;0;0;0;1;541;2
20;02.04.2020;373;1;5;904;0;1;1;1;1;1;1;1;1;1;1;541;8
21;17.04.2020;457;1;3;907;0;1;1;1;1;0;0;1;1;0;0;541;3
